vacancy_id,query,title,locations,salary_range_from,salary_range_to,currency,published_at,employer,details_url,date_added,source
120494376,python,Инженер по тестированию,Москва,,,,2025-05-13T18:25:44+0300,Группа компаний Астра,https://api.hh.ru/vacancies/120494376?host=hh.ru,2025-05-16 00:01:49.363322,hh
119608553,python,Технический писатель,Москва,170000.0,230000.0,RUR,2025-05-13T18:25:40+0300,Tevian (ООО Технологии видеоанализа),https://api.hh.ru/vacancies/119608553?host=hh.ru,2025-05-16 00:01:49.363326,hh
104486766,python,Kubernetes DevOps Engineer,Минск,,,,2025-05-13T18:23:50+0300,Леста Игры,https://api.hh.ru/vacancies/104486766?host=hh.ru,2025-05-16 00:01:49.363329,hh
120494209,python,Data Analyst / BI (Специалист по аналитике данных и бизнес-интеллекту),Москва,200000.0,250000.0,RUR,2025-05-13T18:17:21+0300,Гибрид,https://api.hh.ru/vacancies/120494209?host=hh.ru,2025-05-16 00:01:49.363335,hh
120494195,python,VoIP QA Engineer (middle lvl; нефункциональное тестирование),Москва,200000.0,,RUR,2025-05-13T18:16:39+0300,Sifox,https://api.hh.ru/vacancies/120494195?host=hh.ru,2025-05-16 00:01:49.363339,hh
118362586,python,"Специалист по анализу защищенности, архитектурный анализ (ОС Astra Linux)",Москва,,,,2025-05-13T18:10:14+0300,Группа компаний Астра,https://api.hh.ru/vacancies/118362586?host=hh.ru,2025-05-16 00:01:49.363342,hh
120045029,python,Senior DevOps-инженер,Санкт-Петербург,,,,2025-05-13T18:08:18+0300,Codex Optimus,https://api.hh.ru/vacancies/120045029?host=hh.ru,2025-05-16 00:01:49.363345,hh
118468340,python,Python Web-разработчик,Москва,180000.0,250000.0,RUR,2025-05-13T18:06:39+0300,Селфсек,https://api.hh.ru/vacancies/118468340?host=hh.ru,2025-05-16 00:01:49.363349,hh
117754235,python,Программист/разработчик RPA (стажер/junior),Магнитогорск,40000.0,,RUR,2025-05-13T18:05:32+0300,ЦТР НЕКСТ,https://api.hh.ru/vacancies/117754235?host=hh.ru,2025-05-16 00:01:49.363353,hh
120493784,python,Администратор баз данных / DBA (PostgreSQL),Москва,,,,2025-05-13T18:04:07+0300,CoMagic.dev,https://api.hh.ru/vacancies/120493784?host=hh.ru,2025-05-16 00:01:49.363357,hh
120493723,python,Техлид на Python в Фемиду,Москва,,,,2025-05-13T18:01:40+0300,Яндекс,https://api.hh.ru/vacancies/120493723?host=hh.ru,2025-05-16 00:01:49.363360,hh
120493724,python,Техлид на Python в Фемиду,Санкт-Петербург,,,,2025-05-13T18:01:40+0300,Яндекс,https://api.hh.ru/vacancies/120493724?host=hh.ru,2025-05-16 00:01:49.363364,hh
120493531,python,Старший бэкенд-разработчик на Go в Образование,Москва,,,,2025-05-13T17:56:32+0300,Яндекс,https://api.hh.ru/vacancies/120493531?host=hh.ru,2025-05-16 00:01:49.363368,hh
120493513,python,Начинающий инженер - программист low-code,Москва,50000.0,,RUR,2025-05-13T17:56:04+0300,Клеверенс Софт,https://api.hh.ru/vacancies/120493513?host=hh.ru,2025-05-16 00:01:49.363371,hh
120044461,python,DevSecOps-инженер (стажер),Москва,,,,2025-05-13T17:52:40+0300,АФЛТ-Системс,https://api.hh.ru/vacancies/120044461?host=hh.ru,2025-05-16 00:01:49.363375,hh
119837491,python,Сетевой администратор / Сетевой инженер,Москва,200000.0,,RUR,2025-05-13T17:52:21+0300,efin,https://api.hh.ru/vacancies/119837491?host=hh.ru,2025-05-16 00:01:49.363378,hh
119972330,python,Специалист по аналитике данных,Минск,,,,2025-05-13T17:49:46+0300,А1 (Унитарное предприятие А1),https://api.hh.ru/vacancies/119972330?host=hh.ru,2025-05-16 00:01:49.363382,hh
120493174,python,QA Engineer,Ростов-на-Дону,,,,2025-05-13T17:47:38+0300,MultiCharts,https://api.hh.ru/vacancies/120493174?host=hh.ru,2025-05-16 00:01:49.363386,hh
120493157,python,Аналитик-разработчик (Data Science) в модерацию рекламы,Москва,,,,2025-05-13T17:47:10+0300,Яндекс,https://api.hh.ru/vacancies/120493157?host=hh.ru,2025-05-16 00:01:49.363389,hh
120492796,python,Senior Python developer,Санкт-Петербург,,,,2025-05-13T17:45:20+0300,Вайт Код,https://api.hh.ru/vacancies/120492796?host=hh.ru,2025-05-16 00:01:49.363393,hh
119674821,python,"Разработчик Python (Great Expectations, Spark)",Москва,,,,2025-05-13T17:44:55+0300,ИК СИБИНТЕК,https://api.hh.ru/vacancies/119674821?host=hh.ru,2025-05-16 00:01:49.363397,hh
120492515,python,Системный аналитик middle,Москва,,,,2025-05-13T17:37:37+0300,Notamedia,https://api.hh.ru/vacancies/120492515?host=hh.ru,2025-05-16 00:01:49.363400,hh
119249611,python,Game Data Analyst,Санкт-Петербург,,,,2025-05-13T17:36:37+0300,Леста Игры,https://api.hh.ru/vacancies/119249611?host=hh.ru,2025-05-16 00:01:49.363403,hh
120492386,python,Junior DevOps Engineer/Инженер платформенных решений,Москва,,,,2025-05-13T17:33:56+0300,EKSLi,https://api.hh.ru/vacancies/120492386?host=hh.ru,2025-05-16 00:01:49.363407,hh
119606849,python,Начальник финансового отдела,Москва,,,,2025-05-13T17:33:16+0300,ПКО Нэйва,https://api.hh.ru/vacancies/119606849?host=hh.ru,2025-05-16 00:01:49.363410,hh
120356866,python,Инженер-программист АСУ ТП ( SCADA \ PLC),Москва,,,,2025-05-13T17:32:00+0300,ПРОМТЕХ,https://api.hh.ru/vacancies/120356866?host=hh.ru,2025-05-16 00:01:49.363414,hh
1000147914,python,Python разработчик,"Москва, Санкт-Петербург",,,,2025-05-10T13:27:03+03:00,Bell Integrator,https://career.habr.com/vacancies/1000147914,2025-05-16 00:01:57.960844,habr
1000157380,python,Python Developer,,,,,2025-04-22T13:19:33+03:00,MIND Software,https://career.habr.com/vacancies/1000157380,2025-05-16 00:01:57.960865,habr
1000157234,python,Python-разработчик,,2000.0,3500.0,usd,2025-04-17T09:54:47+03:00,BCraft,https://career.habr.com/vacancies/1000157234,2025-05-16 00:01:57.960873,habr
1000157240,python,Python Developer (MDR),,,,,2025-05-08T13:01:46+03:00,Лаборатория Касперского,https://career.habr.com/vacancies/1000157240,2025-05-16 00:01:57.960880,habr
1000153824,python,Python developer,Москва,,,,2025-05-08T12:27:44+03:00,СберТех,https://career.habr.com/vacancies/1000153824,2025-05-16 00:01:57.960886,habr
1000153428,python,Python Developer (Asgard),,,,,2025-05-09T17:01:05+03:00,Лаборатория Касперского,https://career.habr.com/vacancies/1000153428,2025-05-16 00:01:57.960892,habr
1000156724,python,Python Developer (KATA),,,,,2025-05-09T17:01:07+03:00,Лаборатория Касперского,https://career.habr.com/vacancies/1000156724,2025-05-16 00:01:57.960898,habr
1000157469,python,Python Developer (NTA),,,,,2025-05-09T11:01:17+03:00,Лаборатория Касперского,https://career.habr.com/vacancies/1000157469,2025-05-16 00:01:57.960904,habr
1000150812,python,Automation engineer Python,,,,,2025-05-12T12:27:13+03:00,ИТ-Холдинг Т1,https://career.habr.com/vacancies/1000150812,2025-05-16 00:01:57.960910,habr
1000151992,python,Senior Python Developer,"Москва, Санкт-Петербург",,,,2025-04-22T13:55:39+03:00,Okko,https://career.habr.com/vacancies/1000151992,2025-05-16 00:01:57.960918,habr
1000125254,python,Разработчик Python,Москва,,,,2025-05-12T12:15:40+03:00,Action tech,https://career.habr.com/vacancies/1000125254,2025-05-16 00:01:57.960925,habr
1000156492,python,Python разработчик (Platform V),"Москва, Санкт-Петербург, Ростов-на-Дону",,,,2025-05-11T16:28:09+03:00,СберТех,https://career.habr.com/vacancies/1000156492,2025-05-16 00:01:57.960932,habr
1000144240,python,Senior Python developer (ServiceController),,,,,2025-05-13T12:27:10+03:00,Cloud.ru,https://career.habr.com/vacancies/1000144240,2025-05-16 00:01:57.960938,habr
